카테고리,규칙,내용/예시,비고
어휘,한자어 지양,"가능한 한 한자어 사용을 지양하고, 이해하기 쉬운 우리말을 우선 사용한다.","전문용어로 굳어진 경우 예외(예: 산재보험, 전표 등)"
띄어쓰기,단어 간 띄어쓰기,단어와 단어 사이는 띄어쓰기를 원칙으로 한다.,"전문 용어는 단어별로 띄어 쓰기를 원칙으로 하되, 붙여 쓰는 것도 허용(사내 합의 우선)."
톤&매너,말투(문어체 vs 구어체),"서비스 내 문장은 '입니다, 합니다'보다는 '해요, ~해주세요' 등의 '-요' 종결 어미를 사용한다.",토스와 유사한 친근한 톤을 기본값으로 사용(23.06.09 기준 합의).
톤&매너,요청 문장,사용자 행동을 요청할 때는 '해주세요' 형태를 사용한다.,"예: '다시 시도해주세요', '다시 로그인해주세요'."
타이틀 마침표,서비스 소개 섹션,"서비스 소개 UI에서는 타이틀에는 마침표(.)를 붙이지 않고, 설명 문장(Description)에만 마침표를 붙인다.",23.07.17 합의 내용.
정렬,DO 기준 정렬,DO(권장 표현)를 기준으로 오름차순(가나다순) 정렬한다.,용어/단어 목록 시트 전체에 공통 적용.
한자 합성어,한자어 띄어쓰기 원칙,"(1) 사전에 한 단어로 실려 있으면 모두 붙여 쓰고, (2) 사전에서 검색되지 않거나 띄어 제시하면 각 단어이므로 띄어 쓰고, (3) 전문어이면 띄어쓰기 원칙과 허용에 따라 띄거나 붙여 쓸 수 있다.","외부 사전(국어사전, 네이버 어학사전 등) 기준 + 실사용 맥락 고려."
표기,Slack/문서 기준,"사내 합의가 있는 경우, 그 시점의 Slack 논의를 근거로 표기를 결정한다.","예: 23.06.09 토스 톤&매너, 23.09.12 비밀번호 등."
레이블,필드명 vs 설명,"필드명은 최대한 짧고 명확하게, 설명은 문장형으로 작성한다.",필드명에는 마침표를 사용하지 않는다.
수치,숫자 표기,"숫자 필드(금액, 수량 등)는 우측 정렬을 원칙으로 한다.",0'이 가장 넓으므로 max case 기준으로 가로폭(width)을 산정.
정렬,DO/DON'T 우선순위,가능한 한 DO(권장 표현)만 기억하면 되도록 문서/도구에서 DO를 전면에 노출한다.,DON'T는 예시/금지 목록으로만 사용.
차량번호,,차량번호는 띄어쓰기 하지 않는다.,