단어,설명,예시
AR,"AR (Accounts Receivable) 정산 = 매출 정산",""
AP,"AP (Accounts Payable) 정산 = 매입 정산",""
하불금액,"수송량 대비 수익성(또는 운임 효율)을 나타내는 비율(%). 계산식: (매입금액 ÷ 청구금액) × 100, 고객에게 받은 돈 중 차주/운송사에게 지급한 비율","매입 170,000원 / 청구 200,000원 → (170,000 ÷ 200,000) × 100 = 85%"
청구구분,"현재 화면에서는 Disabled 상태라 상세 값을 확인할 수 없음. 별도 정의 필요",""
진행 매출,"결산월 청구 불가 내역을 진행매출로 인식하는 개념. 상·하차 시점, 부가세법상 용역 공급 종료 시점(하차완료) 기준 검토 필요","말일 상차/익월 1일 하차 주문 케이스 등으로 확인"
헬로 진행 매출 사유,"헬로 시스템 기준 진행 매출 사유 목록","월중 마감청구, 창고 출고 시점 청구, 계약 이외 추가(임의) 작업(요율 미확정), 전체물량 작업완료 후 청구, 모선별 청구(월말 작업미완료), 인수증 확인 및 물량대사 후 청구"
정전기,"정전개 → 역전개(취소)를 결산기간 내에 처리하는 것",""
전기,"회계 전기(posting), 분개를 의미",""
역전기,"이미 전기된 전표를 역방향으로 취소하는 것 (정전개 → 역전개)",""
메뉴얼 매출,"주문 데이터 없이 청구하는 매출 건",""
마이너스전기,"정상적으로 전기된 전표를 역방향으로 추가 전기하여 취소/감액 처리하는 방식. 마감 이후 전기취소 불가 시 사용","정전개 → 역전개 불가 → 마이너스 전기 / 마이너스 전기는 CJ 품의서 번호 필수"
담당자,"이름 검색 시 사번이 함께 노출되는 담당자",""
단수조정,"부가세 등 소수점 단위나 100원 이하 단위가 있을 경우 ERP/SAP 에러를 피하기 위해 절사하는 작업. 계약에 따라 1,000원 이하 절사도 있음",""
실행거점(인사 조직),"해당 운송 실적이 실제로 수행된 조직/실무 거점. 지리적 센터명이 아니라 업무 수행 주체 조직명","AP운영팀, 항공영업1팀, 해운영업팀, P&D)강원지사, POSCO물류팀, 해외법인, 회계팀"
소계,"전체 합계(총액)를 내기 전에 특정 기준(날짜, 카테고리, 지역 등)으로 묶어서 계산한 부분 합계","1/1·1/2·1/3 일자별 금액 소계"
모선명,"母船名, Mother Vessel Name. 해외↔국내 화물을 운송하는 주 운송 선박의 이름",""
일반 매출,"오더 기반으로 발생한 청구 매출",""